-30 -0.0311671 0.00294348
-29.7 -0.0315433 0.00302698
-29.4 -0.0318714 0.00309673
-29.1 -0.0321749 0.00315101
-28.8 -0.032462 0.00320234
-28.5 -0.0327763 0.0032554
-28.2 -0.0330867 0.00332422
-27.9 -0.0334156 0.00338997
-27.6 -0.0337377 0.00346746
-27.3 -0.0340804 0.0035395
-27 -0.0344215 0.00361773
-26.7 -0.0347786 0.00369028
-26.4 -0.0351342 0.00376623
-26.1 -0.0355064 0.00384221
-25.8 -0.0358776 0.00392363
-25.5 -0.0362647 0.00400538
-25.2 -0.0366504 0.00409446
-24.9 -0.0370547 0.00418097
-24.6 -0.0374578 0.00427466
-24.3 -0.0378786 0.00436969
-24 -0.0383007 0.00447049
-23.7 -0.0387405 0.00457438
-23.4 -0.0391817 0.0046805
-23.1 -0.0396424 0.00479058
-22.8 -0.0401046 0.00490557
-22.5 -0.0405884 0.00502555
-22.2 -0.0410703 0.00515407
-21.9 -0.0415792 0.00527747
-21.6 -0.042088 0.00541109
-21.3 -0.0426212 0.00554949
-21 -0.0431549 0.00569323
-20.7 -0.0437152 0.0058428
-20.4 -0.0442773 0.00599781
-20.1 -0.044869 0.00616196
-19.8 -0.0454591 0.00632778
-19.5 -0.0460829 0.00650593
-19.2 -0.0467062 0.00668594
-18.9 -0.0473666 0.00688121
-18.6 -0.0480235 0.00707868
-18.3 -0.0487202 0.00728806
-18 -0.0494166 0.00750388
-17.7 -0.0501572 0.00773481
-17.4 -0.0508915 0.00797061
-17.1 -0.0516773 0.00822378
-16.8 -0.0524573 0.00848235
-16.5 -0.0532961 0.00876192
-16.2 -0.0541201 0.00904227
-15.9 -0.0550136 0.00935277
-15.6 -0.0558949 0.00966641
-15.3 -0.056851 0.0100104
-15 -0.0577856 0.0103569
-14.7 -0.0588091 0.0107359
-14.4 -0.0598105 0.0111237
-14.1 -0.0609143 0.0115482
-13.8 -0.0619791 0.0119845
-13.5 -0.0631668 0.0124594
-13.2 -0.0643386 0.0129457
-12.9 -0.0656033 0.0134864
-12.6 -0.0668279 0.0140336
-12.3 -0.0682253 0.0146495
-12 -0.0695515 0.0152828
-11.7 -0.0710969 0.0160058
-11.4 -0.0725011 0.0166999
-11.1 -0.0741771 0.0174971
-10.8 -0.0757263 0.0183525
-10.5 -0.0775819 0.01928
-10.2 -0.0793272 0.0202558
-9.9 -0.0812953 0.0213315
-9.6 -0.0831266 0.0225132
-9.3 -0.0854262 0.0237992
-9 -0.0874007 0.0252324
-8.7 -0.090032 0.0267136
-8.4 -0.0921784 0.0284565
-8.1 -0.0950955 0.0302608
-7.8 -0.0974798 0.0324752
-7.5 -0.100763 0.0345943
-7.2 -0.103618 0.0373513
-6.9 -0.107162 0.040027
-6.6 -0.11006 0.0435553
-6.3 -0.114027 0.0468304
-6 -0.117122 0.0514834
-5.7 -0.121402 0.0556567
-5.4 -0.123931 0.0614686
-5.1 -0.127656 0.0669538
-4.8 -0.129786 0.0743804
-4.5 -0.133143 0.081739
-4.2 -0.132874 0.0899392
-3.9 -0.136873 0.0994946
-3.6 -0.135168 0.110928
-3.3 -0.135469 0.122695
-3 -0.128144 0.135658
-2.7 -0.124711 0.148753
-2.4 -0.113026 0.165194
-2.1 -0.101905 0.182871
-1.8 -0.089912 0.199776
-1.5 -0.0797158 0.219102
-1.2 -0.079394 0.242019
-0.9 -0.0792727 0.248194
-0.6 -0.101511 0.245156
-0.3 -0.131636 0.206317
0 -0.141871 0.186182
0.3 -0.138492 0.151358
0.6 -0.151764 0.14297
0.9 -0.158536 0.133021
1.2 -0.189171 0.149474
1.5 -0.215673 0.176013
1.8 -0.240453 0.229761
2.1 -0.239804 0.315327
2.4 -0.192173 0.416333
2.7 -0.0895189 0.490867
3 0.0413114 0.48045
3.3 0.132007 0.428587
3.6 0.18858 0.357952
3.9 0.207211 0.293993
4.2 0.211456 0.247977
4.5 0.204304 0.207563
4.8 0.195964 0.179251
5.1 0.186373 0.157361
5.4 0.1787 0.14211
5.7 0.171366 0.12846
6 0.165528 0.117998
6.3 0.159883 0.107978
6.6 0.155283 0.0992379
6.9 0.150715 0.0912859
7.2 0.146395 0.0836855
7.5 0.142099 0.076883
7.8 0.138041 0.0708581
8.1 0.133838 0.0650651
8.4 0.129916 0.0600733
8.7 0.125855 0.0552977
9 0.122134 0.0513375
9.3 0.118402 0.0475237
9.6 0.114866 0.0441895
9.9 0.111432 0.0411291
10.2 0.108233 0.0384573
10.5 0.10512 0.0359473
10.8 0.102191 0.0337526
11.1 0.0993145 0.031641
11.4 0.0966851 0.029848
11.7 0.0941026 0.0280958
12 0.0916876 0.0265831
12.3 0.0893305 0.0251159
12.6 0.0871301 0.0238308
12.9 0.0850125 0.0226022
13.2 0.0829999 0.0214948
13.5 0.0810518 0.0204407
13.8 0.0792225 0.0195052
14.1 0.0774435 0.0185836
14.4 0.0757625 0.0177677
14.7 0.074125 0.0169662
15 0.0725819 0.016261
15.3 0.0710822 0.0155641
15.6 0.0696533 0.0149367
15.9 0.0682637 0.014324
16.2 0.0669443 0.0137682
16.5 0.0656651 0.0132302
16.8 0.0644382 0.0127375
17.1 0.063246 0.0122553
17.4 0.0621084 0.0118167
17.7 0.0610016 0.0113845
18 0.0599394 0.0109913
18.3 0.0589056 0.0106054
18.6 0.0579157 0.0102521
18.9 0.0569517 0.00990465
19.2 0.0560212 0.00958069
19.5 0.0551176 0.00926968
19.8 0.0542483 0.00897898
20.1 0.0534006 0.008695
20.4 0.0525822 0.00842911
20.7 0.0517847 0.00817074
21 0.0510159 0.00792961
21.3 0.0502663 0.00769469
21.6 0.0495395 0.00747214
21.9 0.0488321 0.00725791
22.2 0.0481477 0.00705298
22.5 0.0474801 0.00685763
22.8 0.0468331 0.00666897
23.1 0.046199 0.00648856
23.4 0.0455889 0.00631505
23.7 0.0449898 0.0061488
24 0.0444101 0.00598714
24.3 0.043841 0.00583414
24.6 0.0432907 0.00568322
24.9 0.0427509 0.00554162
25.2 0.0422292 0.00540006
25.5 0.0417121 0.00526763
25.8 0.0412172 0.00513586
26.1 0.0407163 0.00500894
26.4 0.0402412 0.00488602
26.7 0.0397513 0.00476461
27 0.0392874 0.00465487
27.3 0.0388039 0.00454243
27.6 0.0383577 0.00444719
27.9 0.0379132 0.00434789
28.2 0.0375021 0.00426207
