-20 -20 2.70424e-07 1.05687e-06
-19.7333 -20 2.72623e-07 1.80115e-06
-19.4667 -20 2.74564e-07 2.25904e-06
-19.2 -20 2.76968e-07 2.33706e-06
-18.9333 -20 2.80315e-07 2.19714e-06
-18.6667 -20 2.84055e-07 1.92178e-06
-18.4 -20 2.88107e-07 1.72327e-06
-18.1333 -20 2.92383e-07 1.47424e-06
-17.8667 -20 2.96998e-07 1.31902e-06
-17.6 -20 3.01876e-07 1.13171e-06
-17.3333 -20 3.07172e-07 1.018e-06
-17.0667 -20 3.12817e-07 8.78417e-07
-16.8 -20 3.18926e-07 7.9456e-07
-16.5333 -20 3.25415e-07 6.88433e-07
-16.2667 -20 3.32402e-07 6.26192e-07
-16 -20 3.39834e-07 5.44308e-07
-15.7333 -20 3.4783e-07 4.97911e-07
-15.4667 -20 3.56306e-07 4.33974e-07
-15.2 -20 3.65424e-07 4.00128e-07
-14.9333 -20 3.75105e-07 3.50397e-07
-14.6667 -20 3.8554e-07 3.265e-07
-14.4 -20 3.96598e-07 2.88099e-07
-14.1333 -20 4.08547e-07 2.72845e-07
-13.8667 -20 4.21279e-07 2.4405e-07
-13.6 -20 4.3527e-07 2.35585e-07
-13.3333 -20 4.50248e-07 2.14571e-07
-13.0667 -20 4.66094e-07 2.14202e-07
-12.8 -20 4.83127e-07 2.02274e-07
-12.5333 -20 5.0183e-07 2.08251e-07
-12.2667 -20 5.21776e-07 2.03313e-07
-12 -20 5.4362e-07 2.16012e-07
-11.7333 -20 5.66965e-07 2.18547e-07
-11.4667 -20 5.92648e-07 2.37953e-07
-11.2 -20 6.20142e-07 2.47888e-07
-10.9333 -20 6.50524e-07 2.74807e-07
-10.6667 -20 6.83164e-07 2.92862e-07
-10.4 -20 7.19415e-07 3.27501e-07
-10.1333 -20 7.58447e-07 3.53946e-07
-9.86667 -20 8.02015e-07 3.97504e-07
-9.6 -20 8.491e-07 4.33486e-07
-9.33333 -20 9.01957e-07 4.86387e-07
-9.06667 -20 9.59242e-07 5.32404e-07
-8.8 -20 1.02392e-06 5.96091e-07
-8.53333 -20 1.09429e-06 6.53487e-07
-8.26667 -20 1.17424e-06 7.28148e-07
-8 -20 1.26152e-06 7.9708e-07
-7.73333 -20 1.36128e-06 8.83625e-07
-7.46667 -20 1.47063e-06 9.64615e-07
-7.2 -20 1.59641e-06 1.06126e-06
-6.93333 -20 1.73471e-06 1.15195e-06
-6.66667 -20 1.89472e-06 1.25602e-06
-6.4 -20 2.07124e-06 1.35221e-06
-6.13333 -20 2.27642e-06 1.45371e-06
-5.86667 -20 2.50314e-06 1.54269e-06
-5.6 -20 2.76734e-06 1.62429e-06
-5.33333 -20 3.05917e-06 1.68298e-06
-5.06667 -20 3.39845e-06 1.70461e-06
-4.8 -20 3.77121e-06 1.68261e-06
-4.53333 -20 4.19942e-06 1.57381e-06
-4.26667 -20 4.66269e-06 1.38073e-06
-4 -20 5.17627e-06 9.98866e-07
-3.73333 -20 5.70941e-06 4.58381e-07
-3.46667 -20 6.24249e-06 -4.3762e-07
-3.2 -20 6.72704e-06 -1.61981e-06
-2.93333 -20 7.02181e-06 -3.45406e-06
-2.66667 -20 7.05181e-06 -5.75313e-06
-2.4 -20 6.31947e-06 -9.04459e-06
-2.13333 -20 4.73633e-06 -1.28953e-05
-1.86667 -20 8.87337e-07 -1.77632e-05
-1.6 -20 -5.07074e-06 -2.25007e-05
-1.33333 -20 -1.59233e-05 -2.57246e-05
-1.06667 -20 -2.97488e-05 -2.52681e-05
-0.8 -20 -4.62288e-05 -1.4443e-05
-0.533333 -20 -5.84517e-05 5.21545e-06
-0.266667 -20 -3.76331e-05 3.61927e-05
0 -20 1.34729e-08 5.20265e-05
0.266667 -20 3.76631e-05 3.61176e-05
0.533333 -20 5.8437e-05 4.96551e-06
0.8 -20 4.60708e-05 -1.46981e-05
1.06667 -20 2.954e-05 -2.53979e-05
1.33333 -20 1.57747e-05 -2.57394e-05
1.6 -20 4.98401e-06 -2.24383e-05
1.86667 -20 -9.24407e-07 -1.76766e-05
2.13333 -20 -4.74177e-06 -1.28048e-05
2.4 -20 -6.30878e-06 -8.96901e-06
