-20 -20 -4.19734e-07 3.68278e-06
-18 -20 -2.24688e-07 7.12587e-06
-16 -20 -1.36604e-07 5.94662e-06
-14 -20 -6.72248e-08 6.13779e-06
-12 -20 -2.09266e-07 6.787e-06
-10 -20 -3.53433e-07 6.94317e-06
-8 -20 -7.52776e-07 9.90761e-06
-6 -20 -1.34046e-06 1.47684e-05
-4 -20 -4.25185e-07 1.35466e-05
-2 -20 5.05389e-06 -5.68905e-06
0 -20 7.66457e-06 -0.000107775
2 -20 -6.72513e-07 -4.23977e-05
4 -20 9.11878e-07 -9.84301e-06
6 -20 1.68151e-06 -7.86558e-07
8 -20 1.31678e-06 -5.10188e-07
10 -20 1.01597e-06 -9.84195e-07
12 -20 7.49489e-07 -2.58994e-06
14 -20 6.05667e-07 -3.55938e-06
16 -20 4.40146e-07 -3.21748e-06
18 -20 2.76757e-07 -3.93082e-06
20 -20 3.5278e-09 1.13186e-06
