-15 5.6229e-17 0.0662503
-13.5 -4.92041e-18 0.101036
-12 2.23032e-17 0.152308
-10.5 -1.07336e-17 0.187486
-9 -5.82217e-17 0.257848
-7.5 -3.92752e-17 0.319422
-6 5.7788e-17 0.446837
-4.5 5.19333e-17 0.49688
-3 -7.49455e-17 0.256042
-1.5 2.38796e-17 -1.08566
0 -4.98733e-18 -1.2265e-17
1.5 -3.72694e-17 1.08566
3 -1.80791e-17 -0.256042
4.5 4.45607e-17 -0.49688
6 5.5728e-17 -0.446837
7.5 -3.00866e-17 -0.319422
9 -5.15199e-17 -0.257848
10.5 -1.23633e-17 -0.187486
12 1.4569e-18 -0.152308
13.5 3.6253e-19 -0.101036
15 5.8776e-17 -0.0662503
