-50 1.00031 6.76411e-05
-47.5 1.00031 6.7501e-05
-45 1.00031 6.74236e-05
-42.5 1.00031 6.72517e-05
-40 1.00031 6.71557e-05
-37.5 1.00031 6.694e-05
-35 1.00031 6.68182e-05
-32.5 1.00031 6.65407e-05
-30 1.00031 6.63816e-05
-27.5 1.00031 6.60137e-05
-25 1.00031 6.57991e-05
-22.5 1.00031 6.52945e-05
-20 1.00031 6.49956e-05
-17.5 1.00031 6.42851e-05
-15 1.00031 6.38658e-05
-12.5 1.00031 6.29102e-05
-10 1.00031 6.24325e-05
-7.5 1.00032 6.19616e-05
-5 1.00032 6.27729e-05
-2.5 1.00033 6.99683e-05
0 1.00033 7.58278e-05
2.5 1.00032 8.1376e-05
5 1.00031 8.11394e-05
7.5 1.00031 7.91035e-05
10 1.00031 7.81167e-05
12.5 1.00031 7.65053e-05
15 1.00031 7.58688e-05
17.5 1.00031 7.48606e-05
20 1.00031 7.44563e-05
22.5 1.00031 7.37975e-05
25 1.00031 7.35251e-05
27.5 1.00031 7.30684e-05
30 1.00031 7.28745e-05
32.5 1.00031 7.25417e-05
35 1.00031 7.23975e-05
37.5 1.00031 7.21451e-05
40 1.00031 7.20339e-05
42.5 1.00031 7.18364e-05
45 1.00031 7.17482e-05
47.5 1.00031 7.15896e-05
50 1.00031 7.15538e-05
