-50 -0.0198166 -0.000428098
-47.5 -0.020849 -0.000473909
-45 -0.0219945 -0.000527437
-42.5 -0.0232735 -0.000590776
-40 -0.0247102 -0.000666038
-37.5 -0.026336 -0.000756697
-35 -0.0281903 -0.000867075
-32.5 -0.0303255 -0.00100361
-30 -0.0328097 -0.00117499
-27.5 -0.0357373 -0.00139452
-25 -0.0392366 -0.00168137
-22.5 -0.0434948 -0.00206729
-20 -0.0487853 -0.00260216
-17.5 -0.0555378 -0.00337649
-15 -0.0644472 -0.00455081
-12.5 -0.0767368 -0.0064684
-10 -0.0947539 -0.00989348
-7.5 -0.123579 -0.0169951
-5 -0.176818 -0.0356395
-2.5 -0.299447 -0.11069
0 -0.333199 -0.77604
2.5 0.378221 -0.20168
5 0.207052 -0.0491952
7.5 0.138404 -0.0212775
10 0.103262 -0.0117585
12.5 0.0822526 -0.00742162
15 0.0682977 -0.00510853
17.5 0.0583783 -0.00372533
20 0.0509659 -0.00283705
22.5 0.0452204 -0.00223216
25 0.0406361 -0.0018019
27.5 0.0368948 -0.00148493
30 0.0337832 -0.00124468
32.5 0.0311553 -0.00105846
35 0.0289061 -0.000911013
37.5 0.0269597 -0.00079242
40 0.0252586 -0.000695466
42.5 0.0237594 -0.000615331
45 0.0224281 -0.000548227
47.5 0.0212379 -0.000491595
50 0.0201674 -0.000443265
