-20 -20 8.37991e-10 4.1813e-11
-19.6 -20 8.01049e-10 3.49287e-10
-19.2 -20 6.13958e-10 5.77347e-10
-18.8 -20 4.25708e-10 5.46236e-10
-18.4 -20 2.11925e-10 4.40313e-10
-18 -20 9.79814e-11 3.63966e-10
-17.6 -20 -2.00877e-11 2.76946e-10
-17.2 -20 -7.97842e-11 2.23231e-10
-16.8 -20 -1.46425e-10 1.64901e-10
-16.4 -20 -1.76296e-10 1.27567e-10
-16 -20 -2.13929e-10 8.7306e-11
-15.6 -20 -2.25241e-10 6.02562e-11
-15.2 -20 -2.44289e-10 3.1589e-11
-14.8 -20 -2.42182e-10 1.1255e-11
-14.4 -20 -2.47385e-10 -9.1126e-12
-14 -20 -2.34437e-10 -2.30669e-11
-13.6 -20 -2.28421e-10 -3.5514e-11
-13.2 -20 -2.04935e-10 -4.59229e-11
-12.8 -20 -1.85712e-10 -5.58481e-11
-12.4 -20 -1.47241e-10 -6.45071e-11
-12 -20 -1.1264e-10 -7.02022e-11
-11.6 -20 -5.85088e-11 -7.67271e-11
-11.2 -20 -5.71738e-12 -7.93972e-11
-10.8 -20 6.96709e-11 -8.38357e-11
-10.4 -20 1.47732e-10 -8.27113e-11
-10 -20 2.53849e-10 -8.4874e-11
-9.6 -20 3.6866e-10 -7.98533e-11
-9.2 -20 5.18729e-10 -7.85586e-11
-8.8 -20 6.87009e-10 -6.75749e-11
-8.4 -20 9.02989e-10 -6.12564e-11
-8 -20 1.15184e-09 -4.23757e-11
-7.6 -20 1.46471e-09 -2.63169e-11
-7.2 -20 1.83326e-09 7.02311e-12
-6.8 -20 2.29174e-09 4.06511e-11
-6.4 -20 2.83812e-09 9.82994e-11
-6 -20 3.50184e-09 1.69045e-10
-5.6 -20 4.29303e-09 2.76154e-10
-5.2 -20 5.22224e-09 4.22217e-10
-4.8 -20 6.29958e-09 6.28363e-10
-4.4 -20 7.44264e-09 9.44257e-10
-4 -20 8.6284e-09 1.3756e-09
-3.6 -20 9.46854e-09 2.09008e-09
-3.2 -20 9.80674e-09 3.07101e-09
-2.8 -20 8.32571e-09 4.85297e-09
-2.4 -20 4.66316e-09 7.37573e-09
-2 -20 -4.47525e-09 1.23139e-08
-1.6 -20 -1.78653e-08 1.9095e-08
-1.2 -20 -3.59546e-08 3.03233e-08
-0.8 -20 -4.80384e-08 4.11503e-08
-0.4 -20 -2.05266e-08 2.81132e-08
0 -20 -1.61377e-08 6.01294e-15
0.4 -20 -2.05266e-08 -2.81132e-08
0.8 -20 -4.80384e-08 -4.11503e-08
1.2 -20 -3.59546e-08 -3.03233e-08
1.6 -20 -1.78653e-08 -1.9095e-08
2 -20 -4.47525e-09 -1.23139e-08
2.4 -20 4.66316e-09 -7.37573e-09
2.8 -20 8.32571e-09 -4.85297e-09
3.2 -20 9.80674e-09 -3.07101e-09
3.6 -20 9.46854e-09 -2.09008e-09
4 -20 8.6284e-09 -1.3756e-09
4.4 -20 7.44264e-09 -9.44257e-10
4.8 -20 6.29958e-09 -6.28363e-10
5.2 -20 5.22224e-09 -4.22217e-10
5.6 -20 4.29303e-09 -2.76154e-10
6 -20 3.50184e-09 -1.69045e-10
6.4 -20 2.83812e-09 -9.82994e-11
6.8 -20 2.29174e-09 -4.06511e-11
7.2 -20 1.83326e-09 -7.02311e-12
7.6 -20 1.46471e-09 2.63169e-11
8 -20 1.15184e-09 4.23757e-11
8.4 -20 9.02989e-10 6.12564e-11
8.8 -20 6.87009e-10 6.75749e-11
9.2 -20 5.18729e-10 7.85586e-11
9.6 -20 3.6866e-10 7.98533e-11
10 -20 2.53849e-10 8.4874e-11
10.4 -20 1.47732e-10 8.27113e-11
10.8 -20 6.96709e-11 8.38357e-11
11.2 -20 -5.71738e-12 7.93972e-11
11.6 -20 -5.85088e-11 7.67271e-11
12 -20 -1.1264e-10 7.02022e-11
12.4 -20 -1.47241e-10 6.45071e-11
12.8 -20 -1.85712e-10 5.58481e-11
13.2 -20 -2.04935e-10 4.59229e-11
13.6 -20 -2.28421e-10 3.5514e-11
14 -20 -2.34437e-10 2.30669e-11
14.4 -20 -2.47385e-10 9.1126e-12
14.8 -20 -2.42182e-10 -1.1255e-11
15.2 -20 -2.44289e-10 -3.1589e-11
15.6 -20 -2.25241e-10 -6.02562e-11
16 -20 -2.13929e-10 -8.7306e-11
16.4 -20 -1.76296e-10 -1.27567e-10
16.8 -20 -1.46425e-10 -1.64901e-10
17.2 -20 -7.97842e-11 -2.23231e-10
17.6 -20 -2.00877e-11 -2.76946e-10
18 -20 9.79814e-11 -3.63966e-10
18.4 -20 2.11925e-10 -4.40313e-10
18.8 -20 4.25708e-10 -5.46236e-10
19.2 -20 6.13958e-10 -5.77347e-10
19.6 -20 8.01049e-10 -3.49287e-10
20 -20 8.37991e-10 -4.1813e-11
